Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Terrell Bynum,LAC,WR,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Damiere Byrd,ATL,WR,30,1,0,2,0,0,0,0,0,0,0,0,0,,0,0,0
Jason Cabinda,DET,FB,27,4,0,0,0,0,0,0,0,0,1,0,0,,0,0,0
Marquez Callaway,NOR,WR,25,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Stephen Carlson,CHI,TE,27,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Irvin Charles,NYJ,WR,26,12,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Julius Chestnut,TEN,RB,23,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dan Chisena,ARI,WR,26,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dan Chisena,BAL,WR,26,0,0,,,,,,,,,,,,,,
Corey Clement,ARI,RB,29,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Tanner Conner,MIA,TE,25,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Malik Cunningham,2TM,QB,25,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Darrell Daniels,DET,TE,29,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Frank Darby,ATL,WR,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jaelon Darden,CLE,WR,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Malik Davis,DAL,RB,25,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Phillip Dorsett,DEN,WR,30,2,1,3,0,0,0,0,0,0,0,0,0,,0,0,0
Colton Dowell,TEN,WR,24,10,1,2,1,0,0,0,0,0,0,3,0,,0,0,0
Dylan Drummond,DET,WR,23,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Sam Ehlinger,IND,QB,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Princeton Fant,DAL,TE,24,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Ethan Fernea,IND,WR,25,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
